25.2,16.94,38,9.5
17.7,17.51,28.84,7.21
18.9,15.77,32.9,8.225
24.1,14.95,21.22,5.305
24.2,15.57,31,7.75
40.4,20.33,35.58,8.895
51.4,30,48.622,12.156
65.2,30.48,42.026,10.507
85.4,30.23,49.453,12.363
97.1,49.79,198.48,49.62
94.3,56.12,46.605,11.651
52.4,33.85,82.26,20.565
18.9,23.05,43.08,10.77
9.7,32.08,47.72,11.93
7.2,51.72,41.72,10.43
6.3,61.51,82.502,20.626
5,45.77,122.88,30.72
6.2,32.56,110.58,27.645
15.7,31.23,91.04,22.76
17.3,39.92,130.16,32.54
8,55.85,169.52,42.38
9.2,55,93.386,23.347
17.5,69.63,132.78,33.195
24.5,68.59,120.29,30.072
15.4,63.94,88.587,22.147
12.4,58.12,68.478,17.12
17.3,59.82,61.06,15.265
30.8,56.04,98.56,24.64
50.6,68.47,73.1,18.275
49.6,65,64.26,16.065
34.7,62,170.84,42.71
64.4,51.02,118.49,29.623
75.8,42.2,75.94,18.985
85,36.32,76.692,19.173
47.6,31.67,43.86,10.965
17,41.84,122.58,30.645
30,35.16,52.16,13.04
34.2,28.6,53.04,13.26
12.6,40.57,109.88,27.47
10.4,42.21,80.04,20.01
6.1,27.25,41.86,10.465
6.8,27.02,42.584,10.646
11.9,36.04,49.64,12.41
8.9,27.99,50,12.5
16.3,29,49.86,12.465
27.9,29.16,40.38,10.095
59.9,44.42,86.94,21.735
77.8,42.23,58.56,14.64
89.1,34,54.12,13.53
62.4,28.19,45.3,11.325
32.7,24.77,51.1,12.775
27.1,24.71,49.06,12.265
43.6,24.36,57.26,14.315
56.3,28.01,63.34,15.835
41.6,26.68,43.52,10.88
33.5,27.45,54.7,13.675
26.1,30.1,62.14,15.535
26.6,29.03,46.062,11.516
30.4,30,83.08,20.77
28.2,26,51.72,12.93
23,20.23,40.08,10.02
26.1,20.69,34.032,8.5081
60.2,18.78,36.42,9.105
82.4,19.91,25.98,6.495
85.1,20.16,42.78,10.695
85.5,22.02,44.34,11.085
74.7,21.01,33.24,8.31
66.4,22.19,42.58,10.645
42.1,26.53,51.72,12.93
46.2,26.05,51.64,12.91
51.9,26.05,57.02,14.255
23.4,27.75,49.3,12.325
64.4,35,117.64,29.41
74.5,30.79,96.62,24.155
82.2,27.01,52.92,13.23
84.2,32.54,43.44,10.86
62.7,34.03,109.44,27.36
52.2,37.3,128.54,32.135
47.6,37.06,52.18,13.045
52.4,38.43,97.12,24.28
64.2,28,50.14,12.535
59.3,33.5,56.06,14.015
48.5,37.31,87.1,21.775
44.2,35,70,17.5
52.8,24.32,45.18,11.295
18.9,22.17,48.08,12.02
15,24.06,47.64,11.91
64,23.3,45.04,11.26
87.3,20.46,31.18,7.795
85.8,25.32,48.58,12.145
88.2,25.9,91.48,22.87
86,27.53,58.08,14.52
80.5,30.04,108.27,27.066
76.7,35.03,79.32,19.83
39.7,30.26,52.04,13.01
8.3,33.38,94.36,23.59
7.3,38.09,82.7,20.675
15.3,25.5,50.36,12.59
30,25.4,53.86,13.465
75.7,27.88,56.94,14.235
96.9,27.8,62.86,15.715
97.1,26.8,56.86,14.215
95.7,29.31,54.24,13.56
97,30,76.373,19.093
86.3,35,54.66,13.665
52.2,32.12,51.02,12.755
24.7,33.11,54.16,13.54
26.9,29.21,51.06,12.765
46.2,25,48.123,12.031
40.8,26.18,56.5,14.125
61.1,28,62.76,15.69
87,25,43.52,10.88
89.2,26.49,59.38,14.845
90.5,28.5,53.1,13.275
